precise	kind	title	path	declaration
s:8AlarmKit0A12PresentationV5AlertV23SecondaryButtonBehaviorO2eeoiySbAG_AGtFZ	swift.func.op	==(_:_:)	AlarmPresentation.Alert.SecondaryButtonBehavior.==(_:_:)	static func == (a: AlarmPresentation.Alert.SecondaryButtonBehavior, b: AlarmPresentation.Alert.SecondaryButtonBehavior) -> Bool
s:8AlarmKit0A12PresentationV5AlertV23SecondaryButtonBehaviorO4fromAGs7Decoder_p_tKcfc	swift.init	init(from:)	AlarmPresentation.Alert.SecondaryButtonBehavior.init(from:)	init(from decoder: any Decoder) throws
s:8AlarmKit0A12PresentationV5AlertV23SecondaryButtonBehaviorO4hash4intoys6HasherVz_tF	swift.method	hash(into:)	AlarmPresentation.Alert.SecondaryButtonBehavior.hash(into:)	func hash(into hasher: inout Hasher)
s:8AlarmKit0A12PresentationV5AlertV23SecondaryButtonBehaviorO6customyA2GmF	swift.enum.case	AlarmPresentation.Alert.SecondaryButtonBehavior.custom	AlarmPresentation.Alert.SecondaryButtonBehavior.custom	case custom
s:8AlarmKit0A12PresentationV5AlertV23SecondaryButtonBehaviorO6encode2toys7Encoder_p_tKF	swift.method	encode(to:)	AlarmPresentation.Alert.SecondaryButtonBehavior.encode(to:)	func encode(to encoder: any Encoder) throws
s:8AlarmKit0A12PresentationV5AlertV23SecondaryButtonBehaviorO9countdownyA2GmF	swift.enum.case	AlarmPresentation.Alert.SecondaryButtonBehavior.countdown	AlarmPresentation.Alert.SecondaryButtonBehavior.countdown	case countdown
s:8AlarmKit0A12PresentationV5AlertV23SecondaryButtonBehaviorO9hashValueSivp	swift.property	hashValue	AlarmPresentation.Alert.SecondaryButtonBehavior.hashValue	var hashValue: Int { get }
s:8AlarmKit0A12PresentationV5AlertV23secondaryButtonBehaviorAE09SecondaryfG0OSgvp	swift.property	secondaryButtonBehavior	AlarmPresentation.Alert.secondaryButtonBehavior	var secondaryButtonBehavior: AlarmPresentation.Alert.SecondaryButtonBehavior?
s:8AlarmKit0A12PresentationV5AlertV4fromAEs7Decoder_p_tKcfc	swift.init	init(from:)	AlarmPresentation.Alert.init(from:)	init(from decoder: any Decoder) throws
s:8AlarmKit0A12PresentationV5AlertV5title10Foundation23LocalizedStringResourceVvp	swift.property	title	AlarmPresentation.Alert.title	var title: LocalizedStringResource
